Drug_name,drug_approved,drug_withdrawn,drugBank_id,cancer,comment,num_trials_similar_drug,original_num_trials,moa,target,disease.area,indication,phase,description,cancer_desc
Florbetaben (18F),True,False,DB09148,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Florbetaben is a fluorine-18 (18F)-labeled stilbene derivative used for Positron Emission Tomography (PET) imaging of the brain. It is used for the non-invasive detection of the density of ß-amyloid neuritic plaques in the brain of adult patients with cognitive impairment.,False
Florbetapir (18F),True,False,DB09149,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Florbetapir (18F) is a radiopharmaceutical compound containing the radionuclide fluorine-18 bound to the compound florbetapir, a molecule that binds with high affinity to beta amyloid plaque, a peptide that plays a key role in Alzheimer's Disease pathogenesis. Marketed as the product Amyvid, florbetapir 18F is indicated for positron emission tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's Disease (AD) and other causes of cognitive decline.  

The radionucleide fluorine-18 was chosen as it has a half life of 110 minutes allowing it to accumulate sufficiently in the brain before undergoing positon emission decay.",False
Sodium citrate,True,False,DB09154,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Sodium citrate is the sodium salt of citric acid. It is white, crystalline powder or white, granular crystals, slightly deliquescent in moist air, freely soluble in water,
practically insoluble in alcohol. Like citric acid, it has a sour taste. 
From the medical point of view, it is used as alkalinizing agent. It works by neutralizing excess acid in the blood and urine. It has been indicated for the treatment of metabolic acidosis.",False
Technetium Tc-99m pyrophosphate,True,False,DB09165,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,A radionuclide imaging agent used primarily in scintigraphy or tomography of the heart to evaluate the extent of the necrotic myocardial process. It has also been used in noninvasive tests for the distribution of organ involvement in different types of amyloidosis and for the evaluation of muscle necrosis in the extremities.,False
Dosulepin,True,False,DB09167,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"norepinephrine reuptake inhibitor, serotonin-norepinephrine reuptake inhibitor (SNRI), tricyclic antidepressant","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, SLC6A2, SLC6A4",neurology/psychiatry,depression,Launched,"Dosulepin (INN, BAN) formerly known as dothiepin (USAN), is a tricyclic antidepressant with anxiolytic properties that is used in several European and South Asian countries, as well as Australia, South Africa, and New Zealand. It is not FDA-approved due to low therpeutic index and significant toxicity in overdose. Dosulepin inhibits the reuptake of biogenic amines, increasing available neurotransmitter levels at the synaptic cleft. The use of dosulepsin is only recommended in patients who are intolerant or unresponsive to alternative antidepressant therapies. Dosulepsin is a thio derivative of [DB00321] with a similar efficacy to that of [DB00321], and also exhibits anticholinergic, antihistamine and central sedative properties [L882]. 
Its hydrochloride form is a common active ingredient in different drug formulations.",False
Dasabuvir,True,False,DB09183,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,HCV inhibitor,,infectious disease,hepatitis C,Launched,"Dasabuvir is a direct acting antiviral medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as Dasabuvir. Dasabuvir is a non-nucleoside NS5B inhibitor which binds to the palm domain of NS5B and induces a conformational change which renders the polymerase unable to elongate viral RNA [FDA Label]. The binding sites for non-nucleoside NS5B inhibitors are poorly conserved across HCV genotypes leading to the restriction of Dasabuvir's use to genotype 1 only.

In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) recommend Dasabuvir as first line therapy in combination with [DB09296], [DB09297], and [DB00503] for genotype 1b and with [DB00811] for genotype 1a of Hepatitis C [L852]. Dasabuvir, [DB09296], [DB09297], [DB00503], and [DB00811] are used with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626].

Dasabuvir is available as a fixed dose combination product with [DB09296], [DB09297], and [DB00503] (tradename Viekira Pak) used for the treatment of chronic Hepatitis C. Approved in December 2014 by the FDA, Viekira Pak is indicated for the treatment of HCV genotype 1a with [DB00811] or genotype 1b without [DB00811] [FDA Label]. When combined together, Dasabuvir [DB09296], [DB09297], and [DB00503] as the combination product Viekira Pak have been shown to achieve a SVR of 100% for genotype 1b and 89% or 95% for genotype 1a after 12 weeks or 24 weeks of treatment including [DB00811].",True
Viloxazine,True,True,DB09185,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,norepinephrine reuptake inhibitor,SLC6A2,neurology/psychiatry,depression,Launched,"Viloxazine is a selective norepinephrine reuptake inhibitor (NRI) that was used in some European countries as an antidepressant drug. It structurally differs from conventional tri- or tetra-cyclic antidepressants and it does not produce sedative anticholinergic or adrenergic effects in man [A19781]. While displaying amphetamine-like CNS stimulant effects, there is little evidence of drug dependence from viloxazine therapy. Viloxazine hydrochloride is a common active ingredient in drug formulation. It was discovered and brought to market in 1976 by Imperial Chemical Industries and in early 2000's, it was withdrawn from the market.",False
Lorpiprazole,True,False,DB09195,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Lorpiprazole is a serotonin antagonist and reuptake inhibitor used for the treatment of major depressive disorder.[A31634] It is a piperazinyl-triazole derivative.[T83],False
Moxisylyte,True,False,DB09205,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,adrenergic receptor antagonist,,,,Withdrawn,"Moxisylyte, denominated as thymoxamine in the UK, is a specific and orally active α1-adrenergic antagonist.[T45] According to the WHO, moxisylyte is approved since 1987[T91] and in the same year, it acquired the denomination of orphan product by the FDA.[L1172] This drug was developed by the Japanese company Fujirebio and also by the American company Iolab in the late 80s.",False
Tolfenamic acid,True,False,DB09216,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"cyclooxygenase inhibitor, prostanoid receptor antagonist",,neurology/psychiatry,migraine headache,Launched,"Tolfenamic acid, with the formula N-(2-methyl-3-chlorphenyl)-anthranilic acid, is a nonsteroidal anti-inflammatory agent.[A31824] It was discovered by scientists at Medica Pharmaceutical Company in Finland. It is used in the UK as a treatment for migraine under the name of Clotam.[L1292] In the US, it presents a Status class I by the FDA. By the European Medicine Agency, it was granted in 2016 with the status of orphan for the treatment of supranuclear palsy.[L1291]",False
Bisoxatin,True,False,DB09219,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Bisoxatin is a stimulant laxative which increases peristalsis and inhibits absorbtion of water and ions in the intestine [L926]. It is marketed in Belgium under the tradename Wylaxine and used for the treatment of constipation and for preparation of the colon for surgical procedures.,False
Nicorandil,True,False,DB09220,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"nitric oxide donor, potassium channel activator",KCNJ11,cardiology,angina pectoris,Launched,"Nicorandil is an orally efficacious vasodilatory drug and antianginal agent marketed in the UK, Australia, most of Europe, India, Philippines, Japan, South Korea, and Taiwan. It is not an approved drug by FDA. It is a niacinamide derivative that induces vasodilation of arterioles and large coronary arteries by activating potassium channels. It is often used for patients with angina who remain symptomatic despite optimal treatment ith other antianginal drugs [T28]. Nicorandil is a dual-action potassium channel opener that relaxes vascular smooth muscle through membrane hyperpolarization via increased transmembrane potassium conductance and increased intracellular concentration of cyclic GMP. It is shown to dilate normal and stenotic coronary arteries and reduces both ventricular preload and afterload [A20325].",False
Zotepine,True,True,DB09225,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA2B, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR6, HTR7, SLC6A2, SLC6A4",neurology/psychiatry,schizophrenia,Launched,"Zotepine, with the formula (2-chloro-11-(2-dimethyl-amino-ethoxy)-dibenzo thiepin, is a neuroleptic drug. It was designed and synthesized by Fujisawa Pharmaceutical Co Ltd.[A31855] It has been used as an antipsychotic in Japan, India and some places in Europe like UK and Germany since 1980's.[A31857] Zotepine was never approved by the FDA. In 1993, it was classified as inactive drug substance (Status I, Type II) and in 1995 the FDA studied the manufacturing procedures of Zotepine tablets in Germany, but the status remained inactive.[L1082] When the analysis of antipsychotics was retaken in 2016 by the FDA, zotepine did not reach the threshold effect to be further studied.[L1313]. In the EMA, by 2015 it was under pharmacovigilance studies for the potential treatment of acute renal failure.[L1314]",False
Manidipine,True,False,DB09238,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,calcium channel blocker,"CACNA1C, CACNA1D",cardiology,hypertension,Launched,Manidipine (INN) is a calcium channel blocker (dihydropyridine type) that is used clinically as an antihypertensive. It is selective for vasculature and does not produce effects on the heart at clinically relevant dosages.,False
Moxonidine,True,False,DB09242,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,imidazoline receptor agonist,"ADRA2A, ADRA2B, ADRA2C",cardiology,hypertension,Launched,"Moxonidine is a new-generation centrally acting antihypertensive drug approved for the treatment of mild to moderate essential hypertension. It is suggested to be effective in cases where other agents such as thiazides, beta-blockers, ACE inhibitors, and calcium channel blockers are not appropriate or irresponsive. As well, moxonidine has been shown to present blood pressure-independent beneficial effects on insulin resistance syndrome.",False
Strontium ranelate,True,True,DB09267,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Strontium ranelate, a strontium (II) salt of ranelic acid, is a medication for osteoporosis. Some reports have shown that strontium ranelate can slow down the progression of osteoarthritis of the knee. This agent presents an atypical mechanism of action in which it increases deposition of new bone by osteoblasts and, simultaneously, reduces the resorption of bone by osteoclasts. It is therefore promoted as a ""dual action bone agent"" (DABA) indicated for use in treatment of severe osteoporosis.

Furthermore, various clinical studies demonstrate the ability of strontium ranelate to improve and strengthen intrinsic bone tissue quality and microarchitecture in osteoporosis by way of a number of cellular and microstructural changes by which anti-fracture efficacy is enhanced.

Available for prescription use for a time in some parts of the world as Protelos (strontium ranelate) 2 g granules for oral suspension by Servier, it was ultimately discontinued in 2016-2017 owing to an increased adverse cardiac effects profile along with increased risk of venous thromboembolism (VTE) and various life threatening allergic reactions.",False
Picosulfuric acid,True,False,DB09268,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,gastroenterology,constipation,Launched,Picosulfuric acid is found in laxative products. Sodium picosulfate is a used to treat constipation or induce colon cleansing to prepare the large bowels before colonoscopy or surgery. The combination product containing sodium picosulfate and magnesium citrate was introduced to the Canadian market in 2005 and has been used in European countries for many years [A33322].,False
Eluxadoline,True,False,DB09272,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,opioid receptor modulator,"OPRD1, OPRK1, OPRM1",gastroenterology,irritable bowel syndrome,Launched,"Eluxadoline is a mixed mu-opioid receptor agonist, kappa-opioid receptor agonist, and a-delta opioid receptor antagonist indicated for use in diarrhea-predominant irritable bowel syndrome (IBS-D). The mu-, kappa-, and delta-opioid receptors mediate endogenous and exogenous opioid response in the central nervous system and peripherally in the gastrointestinal system. Agonism of peripheral mu-opioid receptors results in reduced colonic motility, while antagonism of central delta-opioid receptors results in improved analgesia, making eluxadoline usable for the symptoms of both pain and diarrhea characteristic of IBS-D. 

Marketed under the tradename Viberzi (FDA), eluxadoline is an antimotility agent that decreases bowel contractions, inhibits colonic transit, and reduces ﬂuid/ion secretion resulting in improved symptoms of abdominal pain and reductions in the Bristol Stool Scale.",False
Bismuth subcitrate potassium,True,False,DB09275,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,A bismuth compound used for peptic ulcer and gastro-oesophageal reflux disease (GORD).,False
Activated charcoal,True,False,DB09278,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Activated charcoal, or activated carbon, is an amorphous form of carbon prepared from incomplete combustion of carbonaceous organic matter. It is activated by an oxidizing gas flow at high temperature passed over its surface to make a fine network of pores, producing a material with large surface area and high affinity for various substances. It is used as a gastric decontaminant and emergency medication to treat poisonings following excessive oral ingestion of certain medications or poisons by absorbing most drugs and toxins. However its effects is rendered poor on some compounds including strong acids or bases, methanol and substances with limited absorptive capacity (including iron, lithium, arsenic). It works by binding to the poison in the gastric contents in a reversible fashion thus may be adminstered together with a cathartic to reduce the small intestine transit time. The clinical applications of activated charcoal occured in the early 1800's. While this management for acute poisoning is considered fairly invasive, it is on the World Health Organization's List of Essential Medicines that includes the most important medications needed in a basic health system.",False
Lumacaftor,True,False,DB09280,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,CFTR channel agonist,CFTR,pulmonary,cystic fibrosis,Launched,"Lumacaftor is a drug used in combination with [DB08820] as the fixed dose combination product Orkambi for the management of Cystic Fibrosis (CF) in patients aged 6 years and older. Cystic Fibrosis is an autosomal recessive disorder caused by one of several different mutations in the gene for the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) protein, a transmembrane ion channel involved in the transport of chloride and sodium ions across cell membranes of the lungs, pancreas, and other organs. Mutations in the CFTR gene result in altered production, misfolding, or function of the CFTR protein and consequently abnormal fluid and ion transport across cell membranes.[A20298, A20299] As a result, CF patients produce thick, sticky mucus that clogs the ducts of organs where it is produced making patients more susceptible to infections, lung damage, pancreatic insufficiency, and malnutrition.[A20302] Lumacaftor improves CF symptoms and underlying disease pathology by aiding the conformational stability of F508del-mutated CFTR proteins, preventing misfolding and resulting in increased processing and trafficking of mature protein to the cell surface. 

Results from clinical trials indicated that treatment with Orkambi (lumacaftor/ivacaftor) results in improved lung function, reduced chance of experiencing a pulmonary exacerbation, increased weight gain, and improvements in CF symptoms.[FDA Label] This data has been heavily scrutinized, however, with clinical trials showing only modest improvements despite a hefty yearly cost of $259,000 for Orkambi.[A20343] Improvements in lung function (ppFEV1) were found to be statistically significant, but minimal, with only a 2.6-3.0% change from baseline with more than 70% of patients failing to achieve an absolute improvement of at least 5%.[A20343, L936]

A wide variety of CFTR mutations correlate to the Cystic Fibrosis phenotype and are associated with differing levels of disease severity. The most common mutation, affecting approximately 70% of patients with CF worldwide, is known as F508del-CFTR, or delta-F508 (ΔF508), in which a deletion in the amino acid phenylalanine at position 508 results in impaired production of the CFTR protein, thereby causing a significant reduction in the amount of ion transporter present on cell membranes.[A20301] When used in combination with [DB08820] as the fixed dose combination product Orkambi, lumacaftor is specific for the management of CF in patients with delta-F508 mutations as it acts as a protein-folding chaperone, aiding the conformational stability of the mutated CFTR protein. Consequently, lumacaftor increases successful production of CFTR ion channels and the total number of receptors available for use at the cell membrane for fluid and ion transport.[A18395] The next most common mutation, G551D, affecting 4-5% of CF patients worldwide, is characterized as a missense mutation, whereby there is sufficient amount of protein at the cell surface, but opening and closing mechanisms of the channel are altered.[A17564] Treatment of patients with G551D and other rarer missense mutations is usually managed with [DB08820] (Kalydeco), as it aids with altered gating mechanisms by potentiating channel opening probability of CFTR protein.

Prior to the development of lumacaftor and [DB08820] (Kalydeco), management of CF primarily involved therapies for the control of infections, nutritional support, clearance of mucus, and management of symptoms rather than improvements in the underlying disease process. Approved for use by the Food and Drug Administration in July 2015 and by Health Canada in January 2016, Orkambi was the first combination product approved for the management of Cystic Fibrosis with delta-F508 mutations.

Ivacaftor is manufactured and distributed by Vertex Pharmaceuticals.",False
Magnesium trisilicate,True,False,DB09281,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Magnesium trisilicate is an inorganic compound that is used as an antacid in the treatment of peptic ulcers.,False
Molsidomine,True,False,DB09282,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,guanylate cyclase stimulant,GUCY1A3,cardiology,coronary artery disease (CAD),Launched,"Molsidomine is an orally active, long-acting vasodilator, which belongs to the class of medications known as syndnones. Interestingly, it is being studied as being a preventive measure in cerebral infarction [A31932].",False
Ombitasvir,True,False,DB09296,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Ombitasvir is a direct acting antiviral medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as Ombitasvir. Ombitasvir is an inhibitor of NS5A, a protein essential for viral replication and virion assembly [FDA Label]. The barrier for develoment of resistance to NS5A inhibitors is lower than that of NS5B inhibitors, another class of DAAs [A19593]. 

In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) recommend Ombitasvir as a first line therapy option when used in combination with other antivirals for genotypes 1a, 1b, and 4 [L852]. Depending on the genotype, Ombitasvir is often used in combination with other antivirals such as [DB09183], [DB09297], [DB00503], and [DB00811] with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626]. Treatment with direct acting antivirals such as Ombitasvir is associated with very minimal side effects, with the most common being headache and fatigue [FDA Label]. Lack of significant side effects and short duration of therapy is a considerable advantage over older interferon-based regimens, which were limited by infusion site reactions, reduced blood count, and neuropsychiatric effects [A19635].

Ombutasvir first came on the market as a fixed-dose combination product with [DB09183], [DB09297], and [DB00503] as the FDA-approved product Viekira Pak. First approved in December 2014, Viekira Pak is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.

Ombutasvir is also available as a fixed-dose combination product with [DB09297] and [DB00503] as the FDA- and Health Canada-approved product Technivie. First approved in July 2015, Technivie is indicated in combination with Ribavirin for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.

In Canada, Ombutasvir is also available as a fixed-dose combination product with [DB09183], [DB09297], and [DB00503] as the Health Canada-approved, commercially available product Holkira Pak. First approved in January 2015, Holkira Pak is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a with or without cirrhosis.",True
Zinc oxide,True,False,DB09321,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Zinc oxide is an inorganic compound used in a number of manufacturing processes. It can be found in rubbers, plastics, ceramics, glass, cement, lubricants, paints, ointments, adhesives, sealants, pigments, foods, batteries, ferrites, fire retardants, and first-aid tapes. It occurs naturally as the mineral zincite, but most zinc oxide is produced synthetically. It is also widely used to treat a variety of other skin conditions, in products such as baby powder and barrier creams to treat diaper rashes, calamine cream, anti-dandruff shampoos, and antiseptic ointments.",False
Sodium fluoride,True,False,DB09325,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Sodium fluoride is an inorganic chemical compound that is a source of the fluoride ion in many applications, including dental care and radiographic imaging when it is used as [Fluoride ion F-18].[L4894] Sodium fluoride's benefits on dental health were first observed in the 1930s, when individuals in communities with fluoridated drinking water showed less tooth decay than those without fluoridated water. The use of fluoride in dental practice began in the 1940s. Now, sodium fluoride may be found in a variety of gels, varnishes, rinses, toothpaste products, and fluoride treatments provided in dental care.[A181670,A181688] According to the American Dental Association (ADA), thorough evidence reviews have indicated that the use of fluoride to prevent and control dental caries is safe when used correctly and is highly effective in reducing the prevalence of caries.[L7691]",False
Tipiracil,True,False,DB09343,1,"Fixed from model output. Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,thymidine phosphorylase inhibitor,TYMP,oncology,colorectal cancer,Launched,"Tipiracil is a thymidine phosphorylase inhibitor. It is used in combination with trifluridine, in a ratio of 1:0.5, to form TAS-102. The main function of Tipiracil in TAS-102 is to increase trifluridine bioavailability by inhibiting its catabolism.[A31255] TAS-102 is indicated for the treatment of metastatic colorectal cancer which has been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, or with an anti-VEGF or anti-EGFR therapy.[A31254]",True
Dexpanthenol,True,False,DB09357,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,gastroenterology,paralytic ileus,Launched,"Dexpanthenol is an alcohol derivative of pantothenic acid, a component of the B complex vitamins and an essential component of a normally functioning epithelium. Dexpanthenol is enzymatically cleaved to form pantothenic acid, which is an essential component of Coenzyme A, which acts as a cofactor in many enzymatic reactions that are important for protein metabolism in the epithelium[A32373]. 

Due to its good penetration and high local concentrations, dexpanthanol is used in many topical products, such as ointments and lotions for treatment of dermatological conditions to relieve itching or promote healing. Dermatological effects of the topical use of dexpanthenol include increased fibroblast proliferation and accelerated re-epithelialization in wound healing. Furthermore, it acts as a topical protectant, moisturizer, and has demonstrated anti-inflammatory properties [A32377].

Dexpanthenol is also available as a racemic mixture containing both the dextrorotatory form (dexpanthenol) and the levorotatory form (levopanthenol) as [DB11204]. While pantothenic acid is optically active, only the dextrorotatory form (dexpanthenol) is biologically active.",False
Phosphoric acid,True,False,DB09394,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Phosphoric Acid is a colorless, odorless phosphorus-containing inorganic acid. Phosphoric acid is a sequestering agent which binds many divalent cations, including Fe++, Cu++, Ca++, and Mg++.",False
Magnesium chloride,True,False,DB09407,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Magnesium chloride salts are highly soluble in water and the hydrated form of magnesium chloride can be extracted from brine or sea water.,False
Monopotassium phosphate,True,False,DB09413,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Monopotassium phosphate, MKP, (also potassium dihydrogenphosphate, KDP, or monobasic potassium phosphate), KH2PO4, is a soluble salt of potassium and the dihydrogen phosphate ion.  It is a source of phosphorus and potassium as well as a buffering agent. It can be used in fertilizer mixtures to reduce escape of ammonia by keeping pH low.",False
Dipotassium phosphate,True,False,DB09414,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Dipotassium phosphate (K2HPO4) is a highly water-soluble salt often used as a fertilizer and food additive as a source of phosphorus and potassium as well as a buffering agent.,False
Potassium perchlorate,True,False,DB09418,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Potassium perchlorate is an inorganic salt with the chemical formula KClO4. It is a strong oxidizer with the lowest solubility of the alkali metal perchlorates. Potassium is most commonly used in flares and automobile airbags [A32609]. The use of potassium perchlorate as a component in sealing gaskets for food containers has been revoked by the FDA following the use being abandoned by the industry [L2365]. Potassium perchlorate acts as a competitive inhibitor of iodine uptake by the thyroid gland and attenuates the production of the thyroid hormone. Thus the use of potassium perchlorate has been extensive for hyperthyroidism during the last 50 years, particularly in the late 1950s and early 1960s [A32609]. The therapeutic use of potassium perchlorate in thyroid disorders has been ceased due to a high risk for developing aplastic anemia and nephrotic syndrome [L2364].",False
"Sodium phosphate, monobasic",True,False,DB09449,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Sodium phosphate is a saline laxative that is thought to work by increasing fluid in the small intestine. It usually results in a bowel movement after 30 minutes to 6 hours.,False
Glycerin,True,False,DB09462,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,A trihydroxy sugar alcohol that is an intermediate in carbohydrate and lipid metabolism.,False
Iofetamine I-123,True,False,DB09480,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,,False
Potassium lactate,True,False,DB09483,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,,False
Sodium fluorophosphate,True,False,DB09484,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Sodium monofluorophosphate is used in OTC dental preparations to help protect against cavities.,False
Acrivastine,True,False,DB09488,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,histamine receptor antagonist,HRH1,allergy,allergic rhinitis,Launched,"Acrivastine is a triprolidine analog antihistamine indicated for the treatment of allergies and hay fever.  As an H1 receptor antagonist, it functions by blocking the action of histamine at this receptor thereby preventing the symptoms associated with histamine release such as pruritis, vasodilation, hypotension, edema, bronchoconstriction, and tachycardia. 

Acrivastine is currently available in combination with pseudoephedrine as the FDA-approved product Semprex-D.",False
Octinoxate,True,False,DB09496,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,dermatology,sunscreen lotion,Launched,Octinoxate is a cinnamate ester and common ingredient in sunscreen and other skin care products to minimize DNA photodamage. It was originally developed in 1950's as an organic UV-B filter that absorbs UV-B rays from sun. It is often combined with nanoparticles or other water-resistant liposomes in formulations to increase the localization at the epidermis and decrease the risk of percutaneous absorption. Its use in pharmaceutical and cosmetic formulations is approved by FDA.,False
Ferric ammonium citrate,True,False,DB09501,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,,False
Titanium dioxide,True,False,DB09536,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Titanium dioxide, also known as titanium(IV) oxide or titania, is the naturally occurring oxide of titanium. It is used as a pigment under the names titanium white, Pigment White 6 (PW6), or CI 77891. It is typically extracted from ilmenite, rutile and anatase.",False
Iobenguane sulfate I-123,True,False,DB09546,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Iobenguane sulfate I-123 is a radiopharmaceutical used in gamma-scintigraphy of adrenergically inervated tissues [FDA Label].,False
Dexchlorpheniramine maleate,True,False,DB09555,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Dexchlorpheniramine is the S-enantiomer of chlorpheniramine which is a 1st generation anti-histamine. Dexchlorpheniramine has more pharmacological activity than the R and so is more potent than the racemic mixture.,False
Sodium glycerophosphate,True,False,DB09561,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,Sodium glycerophosphate is one of several glycerophosphate salts. It is used clinically to treat or prevent low phosphate levels [FDA Label]. Glycerophosphate is hydrolyzed to inorganic phosphate and glycerol in the body [A32667]. The extent of this reaction is dependent on the activity of serum alkaline phosphatases.,False
Aluminum chloride,True,False,DB11081,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,,,,,,"Aluminum chloride is a chemical compound with the chemical formula AlCl3. When contaminated with iron chloride, it often displays a yellow color compared to the white pure compound. It is used in various chemical applications as a Lewis base, with anhydrous aluminium trichloride being the most commonly used Lewis acid. It may also be found in over-the-counter as an antiperspirant or prescription products as an antihemorrhagic agent. In antiperspirant products, FDA approves the use of aluminum chloride as an active ingredient up to 15%, calculated on the hexahydrate form, in an aqueous solution nonaerosol dosage form [L2012].",False
Resorcinol,True,False,DB11085,0,"Approved, not in clinical trial, not similar to drug in clinical trial",0.0,0.0,phosphodiesterase inhibitor,"CA12, CA14, CA2, PTGS1",dermatology,"acne vulgaris (AV), eczema, psoriasis, seborrheic dermatitis",Launched,"Resorcinol is a 1,3-isomer (or meta-isomer) of benzenediol with the formula C6H4(OH)2. It is used as an antiseptic and disinfectant in topical pharmaceutical products in the treatment of skin disorders and infections such as acne, seborrheic dermatitis, eczema, psoriasis, corns, calluses, and warts. It exerts a keratolytic activity. Resorcinol works by helping to remove hard, scaly, or roughened skin.

Although it is primarily indicated for use as a topical application, resorcinol also possesses a well-documented anti-thyroidal activity that is generally not relied upon for any kind of formal therapeutic indication.",False
